founder_id,name,genome
846,Celer rubra [Protozoa],210;131;34;50;220;172;240;0;205;2
4943,Caeruleo virido [Bacteria],213;57;220;50;248;107;196;183;126
4944,Aggresso caeruleo [Bacteria],126;227;153;200;50;220;244;120;99
2898,Aggresso virido [Bacteria],182;184;30;29;208;220;240;1;2
4946,Celer rubra [Protozoa],197;157;50;227;169;175;240;53;1;2
4954,Celer virido [Bacteria],165;120;211;8;50;220;161;190;116
2908,Caeruleo energo [Bacteria],3;120;27;50;210;136;158;142;2
2909,Caeruleo rubra [Algae],196;200;11;49;214;120;206
2916,Aggresso virido [Bacteria],151;84;220;68;158;71;240;56;2
4965,Rubra senecto [Bacteria],97;14;220;163;23;204;217;7;145
4967,Aggresso rubra [Protozoa],59;111;50;50;82;240;240;194;1;2
4969,Aggresso energo [Protozoa],86;140;122;161;220;240;233;0;252;40
2932,Celer aggresso [Protozoa],210;140;194;109;212;59;240;186;6;69
4981,Aggresso caeruleo [Protozoa],210;233;29;128;4;240;167;0;1;2
4985,Senecto virido [Bacteria],201;237;220;22;50;220;84;197;81
4986,Aggresso rubra [Protozoa],210;114;50;50;193;244;240;0;110;2
4993,Celer virido [Protozoa],210;140;210;50;216;73;240;126;188;144
898,Aggresso celer [Bacteria],161;120;220;25;50;24;240;165;220
2951,Aggresso rubra [Protozoa],108;140;50;225;220;248;240;233;134;77
5002,Virido rubra [Bacteria],182;12;8;250;208;220;240;1;2
5003,Celer energo [Protozoa],47;140;78;229;220;130;240;103;93;71
5004,Senecto celer [Bacteria],90;172;97;118;66;3;14;48;182
5006,Rubra caeruleo [Bacteria],113;96;220;50;47;219;184;1;29
5015,Energo virido [Bacteria],221;166;97;8;115;16;87;158;246
5020,Celer senecto [Protozoa],211;22;43;23;119;80;240;52;1;2
929,Energo senecto [Bacteria],220;120;220;165;175;197;169;117;2
2979,Energo aggresso [Bacteria],220;88;220;220;170;155;51;1;2
2980,Energo rubra [Bacteria],244;120;35;232;62;66;240;177;129
5027,Celer rubra [Protozoa],223;234;1;206;89;141;240;92;1;2
945,Aggresso rubra [Protozoa],206;182;50;120;220;240;93;184;166;179
2995,Aggresso rubra [Bacteria],36;217;4;50;113;220;237;176;224
2997,Aggresso rubra [Protozoa],214;209;50;129;161;240;240;86;110;146
5046,Celer caeruleo [Protozoa],210;127;50;229;0;192;240;137;232;192
951,Aggresso energo [Bacteria],61;120;137;128;115;230;240;1;210
952,Aggresso rubra [Bacteria],220;95;50;50;132;137;240;214;2
5059,Aggresso celer [Bacteria],60;186;132;50;43;13;240;115;2
